"CUEANEXO","cantidad_vacantes","anio"
20000200,42,"2015"
20000800,42,"2015"
20000900,35,"2015"
20001000,16,"2015"
20001100,23,"2015"
20001200,40,"2015"
20001800,14,"2015"
20002200,45,"2015"
20002300,28,"2015"
20002400,39,"2015"
20002500,27,"2015"
20003700,112,"2015"
20003701,43,"2015"
20003703,16,"2015"
20003800,62,"2015"
20003900,23,"2015"
20004000,69,"2015"
20004100,24,"2015"
20004200,22,"2015"
20004300,19,"2015"
20004400,190,"2015"
20004600,13,"2015"
20004800,16,"2015"
20005000,47,"2015"
20005100,17,"2015"
20005300,56,"2015"
20005600,23,"2015"
20006300,11,"2015"
20007100,22,"2015"
20007300,25,"2015"
20007500,59,"2015"
20007501,15,"2015"
20007502,8,"2015"
20007600,125,"2015"
20007700,26,"2015"
20007900,137,"2015"
20008400,47,"2015"
20008500,41,"2015"
20008600,6,"2015"
20008900,69,"2015"
20009000,102,"2015"
20009700,48,"2015"
20010300,73,"2015"
20011000,39,"2015"
20011100,62,"2015"
20011200,24,"2015"
20011300,21,"2015"
20011700,49,"2015"
20012000,43,"2015"
20012100,55,"2015"
20012800,18,"2015"
20013000,13,"2015"
20013500,53,"2015"
20013600,49,"2015"
20013700,64,"2015"
20013701,66,"2015"
20013900,36,"2015"
20014000,32,"2015"
20014100,22,"2015"
20014300,119,"2015"
20015200,91,"2015"
20015300,64,"2015"
20015400,48,"2015"
20015500,137,"2015"
20015800,134,"2015"
20015801,41,"2015"
20015900,35,"2015"
20016000,26,"2015"
20016100,15,"2015"
20016300,92,"2015"
20016500,56,"2015"
20016600,22,"2015"
20016700,28,"2015"
20016900,27,"2015"
20017000,25,"2015"
20017700,27,"2015"
20017701,35,"2015"
20017702,29,"2015"
20018100,8,"2015"
20018400,22,"2015"
20018500,26,"2015"
20018600,46,"2015"
20018700,65,"2015"
20018701,49,"2015"
20018702,20,"2015"
20018800,26,"2015"
20018900,45,"2015"
20019200,203,"2015"
20019300,24,"2015"
20019600,46,"2015"
20020200,13,"2015"
20020700,26,"2015"
20020800,27,"2015"
20021200,24,"2015"
20021300,27,"2015"
20021400,19,"2015"
20021500,16,"2015"
20021600,43,"2015"
20021900,32,"2015"
20022000,69,"2015"
20022001,29,"2015"
20022002,20,"2015"
20022003,15,"2015"
20022100,50,"2015"
20023000,17,"2015"
20023600,21,"2015"
20023700,11,"2015"
20023900,20,"2015"
20023901,33,"2015"
20023902,25,"2015"
20024900,57,"2015"
20024901,32,"2015"
20024902,55,"2015"
20024903,24,"2015"
20025000,62,"2015"
20025100,48,"2015"
20025500,81,"2015"
20026800,78,"2015"
20027400,92,"2015"
20027500,109,"2015"
20027800,70,"2015"
20027804,34,"2015"
20027900,55,"2015"
20028100,26,"2015"
20028500,7,"2015"
20028600,18,"2015"
20028900,31,"2015"
20029000,22,"2015"
20029001,25,"2015"
20029002,91,"2015"
20029400,115,"2015"
20029401,72,"2015"
20029600,29,"2015"
20029700,44,"2015"
20029800,45,"2015"
20030200,25,"2015"
20030400,21,"2015"
20030900,41,"2015"
20030902,20,"2015"
20031100,55,"2015"
20031900,13,"2015"
20032400,39,"2015"
20032500,22,"2015"
20032800,44,"2015"
20032900,82,"2015"
20033000,24,"2015"
20033300,10,"2015"
20033600,27,"2015"
20033601,22,"2015"
20033602,18,"2015"
20034100,26,"2015"
20034200,55,"2015"
20034400,47,"2015"
20034401,22,"2015"
20034402,40,"2015"
20034403,25,"2015"
20034900,46,"2015"
20035000,100,"2015"
20035100,22,"2015"
20035200,16,"2015"
20035300,40,"2015"
20035800,16,"2015"
20036200,57,"2015"
20036300,44,"2015"
20036400,165,"2015"
20037900,70,"2015"
20038000,23,"2015"
20038100,138,"2015"
20038200,106,"2015"
20038600,30,"2015"
20039900,18,"2015"
20040000,39,"2015"
20040100,171,"2015"
20040400,97,"2015"
20041000,50,"2015"
20041300,34,"2015"
20041400,55,"2015"
20041700,43,"2015"
20041800,25,"2015"
20041900,36,"2015"
20042100,30,"2015"
20042600,94,"2015"
20042700,45,"2015"
20043300,106,"2015"
20043800,56,"2015"
20043900,51,"2015"
20044100,64,"2015"
20044200,129,"2015"
20044400,59,"2015"
20044401,63,"2015"
20044402,29,"2015"
20044700,20,"2015"
20046100,13,"2015"
20046200,64,"2015"
20046300,25,"2015"
20046700,67,"2015"
20046702,13,"2015"
20046703,41,"2015"
20046900,59,"2015"
20047000,37,"2015"
20047200,53,"2015"
20047300,29,"2015"
20047400,54,"2015"
20047600,30,"2015"
20047700,123,"2015"
20047701,29,"2015"
20047800,110,"2015"
20048100,27,"2015"
20048400,32,"2015"
20048500,31,"2015"
20048700,131,"2015"
20048900,23,"2015"
20049000,14,"2015"
20049100,25,"2015"
20049200,119,"2015"
20049400,30,"2015"
20049500,43,"2015"
20049700,13,"2015"
20049900,19,"2015"
20050000,34,"2015"
20050400,58,"2015"
20050600,154,"2015"
20050900,81,"2015"
20051400,77,"2015"
20051600,41,"2015"
20051900,21,"2015"
20052000,111,"2015"
20052300,53,"2015"
20052400,40,"2015"
20052800,41,"2015"
20053000,49,"2015"
20053300,13,"2015"
20053600,225,"2015"
20054000,26,"2015"
20054200,86,"2015"
20054400,17,"2015"
20054600,17,"2015"
20055400,21,"2015"
20055401,31,"2015"
20055402,22,"2015"
20055403,24,"2015"
20055404,23,"2015"
20055600,28,"2015"
20055700,20,"2015"
20055800,34,"2015"
20055900,94,"2015"
20056300,240,"2015"
20056600,60,"2015"
20056700,103,"2015"
20056900,70,"2015"
20057000,105,"2015"
20057800,52,"2015"
20058000,96,"2015"
20058001,25,"2015"
20058100,12,"2015"
20058200,13,"2015"
20058300,391,"2015"
20058400,167,"2015"
20058900,115,"2015"
20059200,41,"2015"
20059300,108,"2015"
20059500,99,"2015"
20059600,41,"2015"
20059800,21,"2015"
20059900,29,"2015"
20060100,29,"2015"
20060600,58,"2015"
20060602,35,"2015"
20060603,17,"2015"
20060604,16,"2015"
20060700,53,"2015"
20061100,118,"2015"
20061200,183,"2015"
20061500,19,"2015"
20061700,7,"2015"
20061701,40,"2015"
20061702,25,"2015"
20061703,29,"2015"
20061704,29,"2015"
20061800,28,"2015"
20061900,26,"2015"
20062100,74,"2015"
20062200,162,"2015"
20062300,75,"2015"
20062800,34,"2015"
20062900,14,"2015"
20063000,91,"2015"
20063100,49,"2015"
20063400,28,"2015"
20063401,29,"2015"
20063402,43,"2015"
20063500,48,"2015"
20063700,262,"2015"
20063800,109,"2015"
20063900,133,"2015"
20064400,37,"2015"
20064500,32,"2015"
20064600,44,"2015"
20064700,76,"2015"
20064800,20,"2015"
20064900,210,"2015"
20065200,43,"2015"
20065400,29,"2015"
20065600,50,"2015"
20065700,127,"2015"
20065701,21,"2015"
20065900,42,"2015"
20066000,31,"2015"
20066100,13,"2015"
20066200,25,"2015"
20066500,102,"2015"
20066600,94,"2015"
20066700,112,"2015"
20066900,119,"2015"
20067800,83,"2015"
20068000,108,"2015"
20068100,45,"2015"
20068700,34,"2015"
20068900,8,"2015"
20069400,58,"2015"
20069500,35,"2015"
20069502,39,"2015"
20069504,16,"2015"
20069600,414,"2015"
20070100,40,"2015"
20070200,61,"2015"
20070300,186,"2015"
20070500,35,"2015"
20070600,19,"2015"
20070601,28,"2015"
20070602,17,"2015"
20070603,30,"2015"
20070700,40,"2015"
20070800,307,"2015"
20070900,53,"2015"
20071000,26,"2015"
20071100,85,"2015"
20071300,86,"2015"
20071301,27,"2015"
20071302,23,"2015"
20071303,29,"2015"
20071400,73,"2015"
20071700,228,"2015"
20072400,171,"2015"
20072600,20,"2015"
20072700,20,"2015"
20073000,21,"2015"
20073100,17,"2015"
20073500,18,"2015"
20073700,67,"2015"
20073701,55,"2015"
20073702,23,"2015"
20073703,25,"2015"
20074300,85,"2015"
20074400,104,"2015"
20074500,86,"2015"
20074600,279,"2015"
20075100,24,"2015"
20075600,8,"2015"
20075700,19,"2015"
20075701,6,"2015"
20075702,24,"2015"
20075703,27,"2015"
20075704,15,"2015"
20075800,39,"2015"
20076000,28,"2015"
20076100,20,"2015"
20076200,29,"2015"
20076300,23,"2015"
20076400,91,"2015"
20076500,64,"2015"
20077200,50,"2015"
20077400,34,"2015"
20077500,20,"2015"
20077800,31,"2015"
20078000,47,"2015"
20078400,40,"2015"
20078600,29,"2015"
20079000,76,"2015"
20079100,71,"2015"
20079400,15,"2015"
20079700,92,"2015"
20079900,29,"2015"
20080000,71,"2015"
20080001,11,"2015"
20080002,17,"2015"
20080300,34,"2015"
20080500,26,"2015"
20080800,106,"2015"
20080900,36,"2015"
20081000,51,"2015"
20081100,44,"2015"
20081300,50,"2015"
20081600,104,"2015"
20081800,48,"2015"
20082000,96,"2015"
20082400,15,"2015"
20082500,22,"2015"
20082600,24,"2015"
20082900,27,"2015"
20083000,53,"2015"
20083100,46,"2015"
20083500,97,"2015"
20083800,150,"2015"
20083900,41,"2015"
20084000,159,"2015"
20084300,93,"2015"
20084400,41,"2015"
20084600,33,"2015"
20084800,31,"2015"
20084801,39,"2015"
20084802,32,"2015"
20084803,4,"2015"
20084804,13,"2015"
20084900,122,"2015"
20085000,12,"2015"
20085900,36,"2015"
20086400,42,"2015"
20086500,178,"2015"
20086600,303,"2015"
20086900,29,"2015"
20087100,143,"2015"
20087200,71,"2015"
20087201,26,"2015"
20087202,24,"2015"
20087400,40,"2015"
20087600,289,"2015"
20087700,26,"2015"
20087800,24,"2015"
20087900,38,"2015"
20087902,12,"2015"
20087903,47,"2015"
20088000,23,"2015"
20088100,18,"2015"
20088200,45,"2015"
20088300,124,"2015"
20088400,46,"2015"
20088700,23,"2015"
20088800,57,"2015"
20088900,125,"2015"
20089200,43,"2015"
20089300,15,"2015"
20089400,34,"2015"
20089500,82,"2015"
20089501,23,"2015"
20089600,42,"2015"
20089800,90,"2015"
20090100,141,"2015"
20090200,69,"2015"
20090300,190,"2015"
20090600,30,"2015"
20090700,30,"2015"
20090900,162,"2015"
20091100,202,"2015"
20092000,45,"2015"
20092700,36,"2015"
20092800,46,"2015"
20092900,63,"2015"
20093000,147,"2015"
20093100,25,"2015"
20093101,11,"2015"
20093102,38,"2015"
20093103,22,"2015"
20093104,18,"2015"
20093105,29,"2015"
20093200,43,"2015"
20093300,32,"2015"
20093400,39,"2015"
20093500,51,"2015"
20093600,34,"2015"
20093800,40,"2015"
20093900,103,"2015"
20094100,49,"2015"
20094400,99,"2015"
20094700,42,"2015"
20095000,50,"2015"
20095300,72,"2015"
20095400,11,"2015"
20095401,23,"2015"
20095402,24,"2015"
20096100,23,"2015"
20097000,17,"2015"
20097100,24,"2015"
20097200,37,"2015"
20097300,111,"2015"
20097500,84,"2015"
20097501,9,"2015"
20097502,70,"2015"
20097503,20,"2015"
20097900,53,"2015"
20098200,42,"2015"
20098400,17,"2015"
20098500,43,"2015"
20098600,8,"2015"
20098700,110,"2015"
20098800,80,"2015"
20099100,52,"2015"
20099200,82,"2015"
20099400,48,"2015"
20099600,15,"2015"
20099700,202,"2015"
20100000,93,"2015"
20100100,114,"2015"
20100500,63,"2015"
20100700,24,"2015"
20100800,35,"2015"
20100900,11,"2015"
20101300,23,"2015"
20101400,35,"2015"
20102400,30,"2015"
20102500,39,"2015"
20102600,53,"2015"
20102700,68,"2015"
20102900,48,"2015"
20103000,37,"2015"
20103600,18,"2015"
20103800,108,"2015"
20104100,79,"2015"
20104400,62,"2015"
20104600,39,"2015"
20104700,44,"2015"
20105000,28,"2015"
20105001,15,"2015"
20105002,16,"2015"
20105003,8,"2015"
20105100,121,"2015"
20105700,135,"2015"
20105800,43,"2015"
20105801,33,"2015"
20105802,17,"2015"
20105803,23,"2015"
20105900,97,"2015"
20106200,9,"2015"
20107000,11,"2015"
20108000,126,"2015"
20108100,24,"2015"
20108200,29,"2015"
20108500,255,"2015"
20108600,55,"2015"
20108700,96,"2015"
20109000,81,"2015"
20109200,105,"2015"
20109300,117,"2015"
20109400,45,"2015"
20109500,134,"2015"
20110200,54,"2015"
20110300,35,"2015"
20111300,2,"2015"
20112200,19,"2015"
20112400,52,"2015"
20112500,57,"2015"
20112600,63,"2015"
20112800,6,"2015"
20113200,214,"2015"
20113300,106,"2015"
20113600,83,"2015"
20113700,177,"2015"
20114800,61,"2015"
20115200,48,"2015"
20115500,160,"2015"
20115800,27,"2015"
20116000,74,"2015"
20116100,46,"2015"
20116200,23,"2015"
20116500,65,"2015"
20116600,32,"2015"
20116700,24,"2015"
20116800,30,"2015"
20116900,394,"2015"
20117000,216,"2015"
20117200,58,"2015"
20117700,228,"2015"
20117800,50,"2015"
20117900,67,"2015"
20118100,185,"2015"
20118200,84,"2015"
20118400,82,"2015"
20118500,25,"2015"
20118900,32,"2015"
20119200,59,"2015"
20119300,74,"2015"
20119400,143,"2015"
20119700,49,"2015"
20119800,117,"2015"
20119900,64,"2015"
20120100,19,"2015"
20120101,62,"2015"
20120102,12,"2015"
20120200,26,"2015"
20120800,16,"2015"
20121100,35,"2015"
20121101,26,"2015"
20121102,17,"2015"
20121200,50,"2015"
20121300,34,"2015"
20121400,176,"2015"
20121401,48,"2015"
20121500,53,"2015"
20121600,99,"2015"
20121900,40,"2015"
20122200,6,"2015"
20122800,142,"2015"
20123000,245,"2015"
20123100,136,"2015"
20123200,129,"2015"
20123400,19,"2015"
20123700,49,"2015"
20124000,25,"2015"
20124300,15,"2015"
20124400,63,"2015"
20124500,69,"2015"
20124700,436,"2015"
20125000,130,"2015"
20125300,160,"2015"
20125400,13,"2015"
20125500,13,"2015"
20126100,58,"2015"
20126200,44,"2015"
20126300,29,"2015"
20126400,31,"2015"
20126500,26,"2015"
20126700,38,"2015"
20127200,51,"2015"
20127300,63,"2015"
20127800,30,"2015"
20127802,16,"2015"
20127900,49,"2015"
20129100,27,"2015"
20129200,39,"2015"
20129400,22,"2015"
20129500,79,"2015"
20129700,357,"2015"
20129800,127,"2015"
20130100,25,"2015"
20130200,40,"2015"
20130300,71,"2015"
20130700,24,"2015"
20130705,29,"2015"
20130706,14,"2015"
20130707,42,"2015"
20130708,17,"2015"
20130800,51,"2015"
20130900,51,"2015"
20131100,95,"2015"
20131200,16,"2015"
20131300,31,"2015"
20131800,45,"2015"
20132000,49,"2015"
20132100,42,"2015"
20132200,25,"2015"
20132500,19,"2015"
20132501,41,"2015"
20132502,44,"2015"
20132503,9,"2015"
20132600,35,"2015"
20132800,392,"2015"
20132900,117,"2015"
20133000,24,"2015"
20133600,70,"2015"
20134000,27,"2015"
20134300,30,"2015"
20134400,27,"2015"
20134700,22,"2015"
20135100,53,"2015"
20135200,145,"2015"
20135300,40,"2015"
20135400,36,"2015"
20135500,52,"2015"
20135700,28,"2015"
20136200,121,"2015"
20136300,83,"2015"
20136302,6,"2015"
20136400,42,"2015"
20136500,88,"2015"
20136600,30,"2015"
20136700,38,"2015"
20136800,38,"2015"
20136900,13,"2015"
20136901,45,"2015"
20136902,13,"2015"
20136903,13,"2015"
20137100,204,"2015"
20137200,42,"2015"
20137201,19,"2015"
20137202,24,"2015"
20137203,38,"2015"
20137400,140,"2015"
20137500,23,"2015"
20139200,90,"2015"
20139400,67,"2015"
20139500,141,"2015"
20139800,32,"2015"
20139900,37,"2015"
20140000,24,"2015"
20140100,32,"2015"
20140200,47,"2015"
20140500,66,"2015"
20140900,42,"2015"
20140903,44,"2015"
20140905,2,"2015"
20141000,15,"2015"
20142300,1,"2015"
20143300,63,"2015"
20143400,54,"2015"
20143500,18,"2015"
20143600,20,"2015"
20144000,120,"2015"
20144100,58,"2015"
20144101,32,"2015"
20144102,35,"2015"
20144103,16,"2015"
20144200,54,"2015"
20144800,138,"2015"
20144900,25,"2015"
20145600,120,"2015"
20145700,14,"2015"
20146800,36,"2015"
20146900,45,"2015"
20147000,12,"2015"
20147001,57,"2015"
20147002,62,"2015"
20147003,9,"2015"
20147100,95,"2015"
20147101,39,"2015"
20147500,178,"2015"
20147800,29,"2015"
20147801,41,"2015"
20147802,46,"2015"
20147803,11,"2015"
20148600,40,"2015"
20148700,104,"2015"
20148800,50,"2015"
20148801,118,"2015"
20148802,25,"2015"
20148803,48,"2015"
20149700,49,"2015"
20149800,27,"2015"
20150000,40,"2015"
20150100,112,"2015"
20150500,41,"2015"
20150900,17,"2015"
20151000,67,"2015"
20151200,55,"2015"
20151600,79,"2015"
20151700,42,"2015"
20152100,21,"2015"
20152200,35,"2015"
20152201,9,"2015"
20152202,25,"2015"
20152203,23,"2015"
20152204,69,"2015"
20152300,51,"2015"
20152400,2,"2015"
20152500,9,"2015"
20152600,35,"2015"
20152700,93,"2015"
20153200,24,"2015"
20153300,92,"2015"
20153600,58,"2015"
20153900,36,"2015"
20154000,35,"2015"
20154100,50,"2015"
20154400,13,"2015"
20154401,29,"2015"
20154402,18,"2015"
20154403,47,"2015"
20154500,48,"2015"
20154501,44,"2015"
20154503,45,"2015"
20154600,27,"2015"
20154800,31,"2015"
20154900,35,"2015"
20155100,16,"2015"
20155101,36,"2015"
20155102,59,"2015"
20155200,101,"2015"
20155300,64,"2015"
20155400,79,"2015"
20155401,61,"2015"
20155500,44,"2015"
20156500,25,"2015"
20156900,17,"2015"
20156902,41,"2015"
20156903,13,"2015"
20157000,51,"2015"
20157100,51,"2015"
20157200,73,"2015"
20157400,51,"2015"
20157401,40,"2015"
20157402,14,"2015"
20157403,23,"2015"
20157500,17,"2015"
20158000,57,"2015"
20158100,47,"2015"
20158300,24,"2015"
20158301,30,"2015"
20158400,29,"2015"
20158500,61,"2015"
20158700,31,"2015"
20158701,11,"2015"
20158702,26,"2015"
20158703,5,"2015"
20158800,33,"2015"
20158900,42,"2015"
20159100,16,"2015"
20159200,16,"2015"
20159201,11,"2015"
20159202,6,"2015"
20159203,17,"2015"
20159204,29,"2015"
20159205,26,"2015"
20159300,26,"2015"
20159301,21,"2015"
20159302,11,"2015"
20159500,99,"2015"
20159502,50,"2015"
20159600,84,"2015"
20159601,49,"2015"
20159602,19,"2015"
20159700,39,"2015"
20159702,51,"2015"
20159703,11,"2015"
20160000,50,"2015"
20160100,26,"2015"
20160101,9,"2015"
20160102,6,"2015"
20160200,52,"2015"
20160800,18,"2015"
20160803,21,"2015"
20160806,27,"2015"
20160807,10,"2015"
20161600,122,"2015"
20161800,31,"2015"
20162100,36,"2015"
20162700,66,"2015"
20163700,25,"2015"
20163800,48,"2015"
20163801,29,"2015"
20163802,19,"2015"
20163803,4,"2015"
20163804,48,"2015"
20163900,33,"2015"
20164000,38,"2015"
20164800,38,"2015"
20165000,74,"2015"
20165200,24,"2015"
20165300,25,"2015"
20165301,43,"2015"
20165302,46,"2015"
20165303,26,"2015"
20165800,1,"2015"
20165801,32,"2015"
20165802,8,"2015"
20165803,6,"2015"
20165900,57,"2015"
20166000,37,"2015"
20166100,52,"2015"
20166200,30,"2015"
20166500,37,"2015"
20167600,40,"2015"
20167700,39,"2015"
20167800,61,"2015"
20167900,97,"2015"
20168200,51,"2015"
20168300,56,"2015"
20168400,59,"2015"
20168600,67,"2015"
20168700,60,"2015"
20169200,50,"2015"
20169203,11,"2015"
20169204,13,"2015"
20169300,225,"2015"
20169400,99,"2015"
20169700,115,"2015"
20169800,53,"2015"
20170600,53,"2015"
20170601,28,"2015"
20170602,11,"2015"
20170603,26,"2015"
20171200,40,"2015"
20171300,46,"2015"
20171700,1,"2015"
20171900,21,"2015"
20172700,66,"2015"
20172800,35,"2015"
20172900,37,"2015"
20173000,59,"2015"
20175100,21,"2015"
20177800,228,"2015"
20177801,60,"2015"
20178200,56,"2015"
20178300,164,"2015"
20178800,36,"2015"
20183300,64,"2015"
20183800,77,"2015"
20183900,52,"2015"
20184000,52,"2015"
20184100,54,"2015"
20185100,52,"2015"
20188200,43,"2015"
20189900,41,"2015"
20190000,80,"2015"
20190100,38,"2015"
20206300,68,"2015"
20213900,56,"2015"
20214000,44,"2015"
20214100,65,"2015"
20219900,48,"2015"
20220000,83,"2015"
20220001,46,"2015"
20220100,33,"2015"
20220200,66,"2015"
20220300,48,"2015"
20220400,79,"2015"
20220500,58,"2015"
20220600,103,"2015"
20220700,76,"2015"
20220800,70,"2015"
20220900,88,"2015"
20221000,59,"2015"
20221100,148,"2015"
20221200,93,"2015"
20221300,123,"2015"
20223800,89,"2015"
20223900,132,"2015"
20226900,40,"2015"
20227000,92,"2015"
20227100,87,"2015"
20227101,30,"2015"
20227200,79,"2015"
20227400,57,"2015"
20227500,99,"2015"
20227800,70,"2015"
20227900,117,"2015"
20230100,79,"2015"
20230700,50,"2015"
20230800,83,"2015"
20230900,80,"2015"
20238900,32,"2015"
20240100,67,"2015"
20240200,50,"2015"
20240300,20,"2015"
20241900,119,"2015"
20243500,46,"2015"
20243800,77,"2015"
20243801,46,"2015"
20243802,42,"2015"
20243900,211,"2015"
20244000,38,"2015"
20244100,94,"2015"
20244101,25,"2015"
20244200,52,"2015"
20244400,30,"2015"
20244401,54,"2015"
20246500,101,"2015"
20246600,34,"2015"
20246700,55,"2015"
20246900,40,"2015"
20247000,126,"2015"
20250400,67,"2015"
20250500,107,"2015"
20250700,58,"2015"
20250800,70,"2015"
20274000,40,"2015"
20274500,72,"2015"
20280000,35,"2015"
20280200,138,"2015"
20280300,139,"2015"
20280301,22,"2015"
20280400,96,"2015"
20281000,114,"2015"
20281400,146,"2015"
20281600,62,"2015"
20282800,66,"2015"
20285000,88,"2015"
20287100,60,"2015"
20287500,37,"2015"
20290200,101,"2015"
20290300,107,"2015"
20290400,29,"2015"
20290500,1,"2015"
20290700,45,"2015"
20294100,99,"2015"
20294200,36,"2015"
20294300,49,"2015"
20294800,49,"2015"
20294900,171,"2015"
20295000,39,"2015"
20295200,52,"2015"
20295300,93,"2015"
20296700,76,"2015"
20298200,27,"2015"
20298400,120,"2015"
